# Citation Key Mapping

[1] = amiri2025 | Machine learning approaches to traffic accident severity prediction: Addressing class imbalance | Section: Handling Class Imbalance in Traffic Analysis
[2] = bazarnovi2024 | Addressing imbalanced data in predicting injury severity after traffic crashes: A comparative analysis of machine learning models | Section: Handling Class Imbalance in Traffic Analysis
[3] = boulieri2016 | A Space–Time Multivariate Bayesian Model to Analyse Road Traffic Accidents by Severity | Section: Traffic Accident Severity Prediction
[4] = chawla2002 | SMOTE: Synthetic Minority Over-sampling Technique | Section: Methodology / Gradient Boosting and Ensemble Methods
[5] = chen2016 | XGBoost | Section: Methodology / Gradient Boosting and Ensemble Methods
[6] = chen2025 | Traffic accident severity prediction based on an enhanced MSCPO-XGBoost hybrid model | Section: Gradient Boosting and Ensemble Methods for Tabular Data
[7] = diao2019 | Dynamic Spatial-Temporal Graph Convolutional Neural Networks for Traffic Forecasting | Section: Spatial Feature Engineering in Predictive Modeling
[8] = fiorentini2020 | Handling Imbalanced Data in Road Crash Severity Prediction by Machine Learning Algorithms | Section: Handling Class Imbalance in Traffic Analysis
[9] = guo2021 | Older Pedestrian Traffic Crashes Severity Analysis Based on an Emerging Machine Learning XGBoost | Section: Gradient Boosting and Ensemble Methods for Tabular Data
[10] = jeong2018 | Classification of motor vehicle crash injury severity: A hybrid approach for imbalanced data | Section: Handling Class Imbalance in Traffic Analysis
[11] = kazmi2020 | Spatiotemporal Clustering and Analysis of Road Accident Hotspots by Exploiting GIS Technology and Kernel Density Estimation | Section: Traffic Accident Severity Prediction
[12] = ke2017 | LightGBM: A Highly Efficient Gradient Boosting Decision Tree | Section: Methodology / Gradient Boosting and Ensemble Methods
[13] = lee2020 | Predicting of the Severity of Car Traffic Accidents on a Highway Using Light Gradient Boosting Model | Section: Traffic Accident Severity Prediction
[14] = li2022 | Analysis and visualization of accidents severity based on LightGBM-TPE | Section: Traffic Accident Severity Prediction
[15] = mohammadpour2023 | Classification of truck-involved crash severity: Dealing with missing, imbalanced, and high dimensional safety data | Section: Handling Class Imbalance in Traffic Analysis
[16] = mostafa2025 | AI-based prediction of traffic crash severity for improving road safety and transportation efficiency | Section: Traffic Accident Severity Prediction
[17] = niyogisubizo2023 | Predicting traffic crash severity using hybrid of balanced bagging classification and light gradient boosting machine | Section: Traffic Accident Severity Prediction
[18] = obasi2023 | Evaluating the effectiveness of machine learning techniques in forecasting the severity of traffic accidents | Section: Traffic Accident Severity Prediction
[19] = ogungbire2024 | Effectiveness of Data Imbalance Treatment in Weather-Related Crash Severity Analysis | Section: Handling Class Imbalance in Traffic Analysis
[20] = pradhan2019 | Predicting Injury Severity of Road Traffic Accidents Using a Hybrid Extreme Gradient Boosting and Deep Neural Network Approach | Section: Traffic Accident Severity Prediction
[21] = prokhorenkova2017 | CatBoost: unbiased boosting with categorical features | Section: Methodology / Gradient Boosting and Ensemble Methods
[22] = shao2022 | Decoupled dynamic spatial-temporal graph neural network for traffic forecasting | Section: Spatial Feature Engineering in Predictive Modeling
[23] = tang2025 | Research on Traffic Accident Severity Level Prediction Model Based on Improved Machine Learning | Section: Traffic Accident Severity Prediction
[24] = wu2021 | Analyzing Accident Injury Severity via an Extreme Gradient Boosting (XGBoost) Model | Section: Gradient Boosting and Ensemble Methods for Tabular Data
[25] = yang2022 | Predicting Freeway Traffic Crash Severity Using XGBoost-Bayesian Network Model with Consideration of Features Interaction | Section: Gradient Boosting and Ensemble Methods for Tabular Data
